,group_10yr,population,sex,year,zip
9641,20 to 29,3362,Female,2030,92069
9642,30 to 39,3893,Female,2030,92069
9643,40 to 49,3708,Female,2030,92069
9644,50 to 59,2653,Female,2030,92069
9645,60 to 69,2421,Female,2030,92069
9646,70 to 79,1808,Female,2030,92069
9647,80+,1267,Female,2030,92069
9648,Total Population,26915,Female,2030,92069
9649,Under 10,4158,Male,2030,92069
9650,10 to 19,3785,Male,2030,92069
9651,20 to 29,3664,Male,2030,92069
9652,30 to 39,4004,Male,2030,92069
9653,40 to 49,3611,Male,2030,92069
9654,50 to 59,2506,Male,2030,92069
9655,60 to 69,2261,Male,2030,92069
9656,70 to 79,1563,Male,2030,92069
9657,80+,729,Male,2030,92069
9658,Total Population,26281,Male,2030,92069
9659,Total Population,53196,Total,2030,92069
9660,Under 10,4114,Female,2035,92069
9661,10 to 19,3639,Female,2035,92069
9662,20 to 29,3421,Female,2035,92069
9663,30 to 39,3668,Female,2035,92069
9664,40 to 49,3943,Female,2035,92069
9665,50 to 59,2774,Female,2035,92069
9666,60 to 69,2259,Female,2035,92069
9667,70 to 79,1875,Female,2035,92069
9668,80+,1506,Female,2035,92069
9669,Total Population,27199,Female,2035,92069
9670,Under 10,4022,Male,2035,92069
9671,10 to 19,3778,Male,2035,92069
9672,20 to 29,3596,Male,2035,92069
9673,30 to 39,3807,Male,2035,92069
9674,40 to 49,3814,Male,2035,92069
9675,50 to 59,2648,Male,2035,92069
9676,60 to 69,2038,Male,2035,92069
9677,70 to 79,1697,Male,2035,92069
9678,80+,846,Male,2035,92069
9679,Total Population,26246,Male,2035,92069
9680,Total Population,53445,Total,2035,92069
9681,Under 10,4047,Female,2040,92069
9682,10 to 19,3622,Female,2040,92069
9683,20 to 29,3506,Female,2040,92069
9684,30 to 39,3598,Female,2040,92069
9685,40 to 49,3949,Female,2040,92069
9686,50 to 59,2951,Female,2040,92069
9687,60 to 69,2252,Female,2040,92069
9688,70 to 79,1792,Female,2040,92069
9689,80+,1661,Female,2040,92069
9690,Total Population,27378,Female,2040,92069
9691,Under 10,3996,Male,2040,92069
9692,10 to 19,3729,Male,2040,92069
9693,20 to 29,3560,Male,2040,92069
9694,30 to 39,3640,Male,2040,92069
9695,40 to 49,3972,Male,2040,92069
9696,50 to 59,2730,Male,2040,92069
9697,60 to 69,1952,Male,2040,92069
9698,70 to 79,1683,Male,2040,92069
9699,80+,967,Male,2040,92069
9700,Total Population,26229,Male,2040,92069
9701,Total Population,53607,Total,2040,92069
9702,Under 10,4070,Female,2045,92069
9703,10 to 19,3598,Female,2045,92069
9704,20 to 29,3487,Female,2045,92069
9705,30 to 39,3614,Female,2045,92069
9706,40 to 49,3701,Female,2045,92069
9707,50 to 59,3085,Female,2045,92069
9708,60 to 69,2438,Female,2045,92069
9709,70 to 79,1687,Female,2045,92069
9710,80+,1739,Female,2045,92069
9711,Total Population,27419,Female,2045,92069
9712,Under 10,3998,Male,2045,92069
9713,10 to 19,3723,Male,2045,92069
9714,20 to 29,3546,Male,2045,92069
9715,30 to 39,3555,Male,2045,92069
9716,40 to 49,3860,Male,2045,92069
9717,50 to 59,2933,Male,2045,92069
9718,60 to 69,2035,Male,2045,92069
9719,70 to 79,1548,Male,2045,92069
9720,80+,1055,Male,2045,92069
9721,Total Population,26253,Male,2045,92069
9722,Total Population,53672,Total,2045,92069
9723,Under 10,4095,Female,2050,92069
9724,10 to 19,3590,Female,2050,92069
9725,20 to 29,3384,Female,2050,92069
9726,30 to 39,3632,Female,2050,92069
9727,40 to 49,3642,Female,2050,92069
9728,50 to 59,3040,Female,2050,92069
9729,60 to 69,2556,Female,2050,92069
9730,70 to 79,1608,Female,2050,92069
9731,80+,1739,Female,2050,92069
9732,Total Population,27286,Female,2050,92069
9733,Under 10,4009,Male,2050,92069
9734,10 to 19,3761,Male,2050,92069
9735,20 to 29,3499,Male,2050,92069
9736,30 to 39,3518,Male,2050,92069
9737,40 to 49,3702,Male,2050,92069
9738,50 to 59,3029,Male,2050,92069
9739,60 to 69,2121,Male,2050,92069
9740,70 to 79,1557,Male,2050,92069
9741,80+,1023,Male,2050,92069
9742,Total Population,26219,Male,2050,92069
9743,Total Population,53505,Total,2050,92069
9744,Under 10,17,Female,2012,92070
9745,10 to 19,47,Female,2012,92070
9746,20 to 29,14,Female,2012,92070
9747,30 to 39,46,Female,2012,92070
9748,40 to 49,39,Female,2012,92070
9749,50 to 59,86,Female,2012,92070
9750,60 to 69,59,Female,2012,92070
9751,70 to 79,48,Female,2012,92070
9752,80+,39,Female,2012,92070
9753,Total Population,395,Female,2012,92070
9754,Under 10,28,Male,2012,92070
9755,10 to 19,30,Male,2012,92070
9756,20 to 29,38,Male,2012,92070
9757,30 to 39,32,Male,2012,92070
9758,40 to 49,25,Male,2012,92070
9759,50 to 59,40,Male,2012,92070
9760,60 to 69,67,Male,2012,92070
9761,70 to 79,57,Male,2012,92070
9762,80+,6,Male,2012,92070
9763,Total Population,323,Male,2012,92070
9764,Total Population,718,Total,2012,92070
9765,Under 10,31,Female,2020,92070
9766,10 to 19,37,Female,2020,92070
9767,20 to 29,25,Female,2020,92070
9768,30 to 39,41,Female,2020,92070
9769,40 to 49,26,Female,2020,92070
9770,50 to 59,74,Female,2020,92070
9771,60 to 69,107,Female,2020,92070
9772,70 to 79,68,Female,2020,92070
9773,80+,31,Female,2020,92070
9774,Total Population,440,Female,2020,92070
9775,Under 10,30,Male,2020,92070
9776,10 to 19,36,Male,2020,92070
9777,20 to 29,23,Male,2020,92070
9778,30 to 39,28,Male,2020,92070
9779,40 to 49,22,Male,2020,92070
9780,50 to 59,56,Male,2020,92070
9781,60 to 69,85,Male,2020,92070
9782,70 to 79,63,Male,2020,92070
9783,80+,11,Male,2020,92070
9784,Total Population,354,Male,2020,92070
9785,Total Population,794,Total,2020,92070
9786,Under 10,27,Female,2025,92070
9787,10 to 19,37,Female,2025,92070
9788,20 to 29,23,Female,2025,92070
9789,30 to 39,44,Female,2025,92070
9790,40 to 49,34,Female,2025,92070
9791,50 to 59,66,Female,2025,92070
9792,60 to 69,108,Female,2025,92070
9793,70 to 79,88,Female,2025,92070
9794,80+,36,Female,2025,92070
9795,Total Population,463,Female,2025,92070
9796,Under 10,31,Male,2025,92070
9797,10 to 19,26,Male,2025,92070
9798,20 to 29,25,Male,2025,92070
9799,30 to 39,21,Male,2025,92070
9800,40 to 49,20,Male,2025,92070
9801,50 to 59,52,Male,2025,92070
9802,60 to 69,82,Male,2025,92070
9803,70 to 79,73,Male,2025,92070
9804,80+,24,Male,2025,92070
9805,Total Population,354,Male,2025,92070
9806,Total Population,817,Total,2025,92070
9807,Under 10,36,Female,2030,92070
9808,10 to 19,40,Female,2030,92070
9809,20 to 29,25,Female,2030,92070
9810,30 to 39,36,Female,2030,92070
9811,40 to 49,49,Female,2030,92070
9812,50 to 59,65,Female,2030,92070
9813,60 to 69,105,Female,2030,92070
9814,70 to 79,95,Female,2030,92070
9815,80+,45,Female,2030,92070
9816,Total Population,496,Female,2030,92070
9817,Under 10,27,Male,2030,92070
9818,10 to 19,28,Male,2030,92070
9819,20 to 29,17,Male,2030,92070
9820,30 to 39,28,Male,2030,92070
9821,40 to 49,31,Male,2030,92070
9822,50 to 59,48,Male,2030,92070
9823,60 to 69,70,Male,2030,92070
9824,70 to 79,93,Male,2030,92070
9825,80+,29,Male,2030,92070
9826,Total Population,371,Male,2030,92070
9827,Total Population,867,Total,2030,92070
9828,Under 10,42,Female,2035,92070
9829,10 to 19,43,Female,2035,92070
9830,20 to 29,19,Female,2035,92070
9831,30 to 39,43,Female,2035,92070
9832,40 to 49,50,Female,2035,92070
9833,50 to 59,75,Female,2035,92070
9834,60 to 69,109,Female,2035,92070
9835,70 to 79,100,Female,2035,92070
9836,80+,60,Female,2035,92070
9837,Total Population,541,Female,2035,92070
9838,Under 10,26,Male,2035,92070
9839,10 to 19,21,Male,2035,92070
9840,20 to 29,20,Male,2035,92070
9841,30 to 39,18,Male,2035,92070
9842,40 to 49,35,Male,2035,92070
9843,50 to 59,53,Male,2035,92070
9844,60 to 69,65,Male,2035,92070
9845,70 to 79,96,Male,2035,92070
9846,80+,45,Male,2035,92070
9847,Total Population,379,Male,2035,92070
9848,Total Population,920,Total,2035,92070
9849,Under 10,46,Female,2040,92070
9850,10 to 19,37,Female,2040,92070
9851,20 to 29,27,Female,2040,92070
9852,30 to 39,33,Female,2040,92070
9853,40 to 49,55,Female,2040,92070
9854,50 to 59,77,Female,2040,92070
9855,60 to 69,113,Female,2040,92070
9856,70 to 79,98,Female,2040,92070
9857,80+,60,Female,2040,92070
9858,Total Population,546,Female,2040,92070
9859,Under 10,25,Male,2040,92070
9860,10 to 19,29,Male,2040,92070
9861,20 to 29,12,Male,2040,92070
9862,30 to 39,22,Male,2040,92070
9863,40 to 49,34,Male,2040,92070
9864,50 to 59,58,Male,2040,92070
9865,60 to 69,61,Male,2040,92070
9866,70 to 79,82,Male,2040,92070
9867,80+,48,Male,2040,92070
9868,Total Population,371,Male,2040,92070
9869,Total Population,917,Total,2040,92070
9870,Under 10,47,Female,2045,92070
9871,10 to 19,31,Female,2045,92070
9872,20 to 29,30,Female,2045,92070
9873,30 to 39,38,Female,2045,92070
9874,40 to 49,47,Female,2045,92070
9875,50 to 59,74,Female,2045,92070
9876,60 to 69,126,Female,2045,92070
9877,70 to 79,86,Female,2045,92070
9878,80+,65,Female,2045,92070
9879,Total Population,544,Female,2045,92070
9880,Under 10,27,Male,2045,92070
9881,10 to 19,27,Male,2045,92070
9882,20 to 29,14,Male,2045,92070
9883,30 to 39,30,Male,2045,92070
9884,40 to 49,25,Male,2045,92070
9885,50 to 59,52,Male,2045,92070
9886,60 to 69,68,Male,2045,92070
9887,70 to 79,78,Male,2045,92070
9888,80+,42,Male,2045,92070
9889,Total Population,363,Male,2045,92070
9890,Total Population,907,Total,2045,92070
9891,Under 10,42,Female,2050,92070
9892,10 to 19,32,Female,2050,92070
9893,20 to 29,27,Female,2050,92070
9894,30 to 39,44,Female,2050,92070
9895,40 to 49,42,Female,2050,92070
9896,50 to 59,70,Female,2050,92070
9897,60 to 69,126,Female,2050,92070
9898,70 to 79,84,Female,2050,92070
9899,80+,66,Female,2050,92070
9900,Total Population,533,Female,2050,92070
9901,Under 10,28,Male,2050,92070
9902,10 to 19,27,Male,2050,92070
9903,20 to 29,16,Male,2050,92070
9904,30 to 39,32,Male,2050,92070
9905,40 to 49,24,Male,2050,92070
9906,50 to 59,51,Male,2050,92070
9907,60 to 69,65,Male,2050,92070
9908,70 to 79,86,Male,2050,92070
9909,80+,40,Male,2050,92070
9910,Total Population,369,Male,2050,92070
9911,Total Population,902,Total,2050,92070
9912,Under 10,3294,Female,2012,92071
9913,10 to 19,3654,Female,2012,92071
9914,20 to 29,3603,Female,2012,92071
9915,30 to 39,3665,Female,2012,92071
9916,40 to 49,4164,Female,2012,92071
9917,50 to 59,4248,Female,2012,92071
9918,60 to 69,2866,Female,2012,92071
9919,70 to 79,1459,Female,2012,92071
9920,80+,1078,Female,2012,92071
9921,Total Population,28031,Female,2012,92071
9922,Under 10,3475,Male,2012,92071
9923,10 to 19,3993,Male,2012,92071
9924,20 to 29,3533,Male,2012,92071
9925,30 to 39,3473,Male,2012,92071
9926,40 to 49,3771,Male,2012,92071
9927,50 to 59,3935,Male,2012,92071
9928,60 to 69,2478,Male,2012,92071
9929,70 to 79,1087,Male,2012,92071
9930,80+,665,Male,2012,92071
9931,Total Population,26410,Male,2012,92071
9932,Total Population,54441,Total,2012,92071
9933,Under 10,4060,Female,2020,92071
9934,10 to 19,3297,Female,2020,92071
9935,20 to 29,3544,Female,2020,92071
9936,30 to 39,4399,Female,2020,92071
9937,40 to 49,4002,Female,2020,92071
9938,50 to 59,4159,Female,2020,92071
9939,60 to 69,3793,Female,2020,92071
9940,70 to 79,2332,Female,2020,92071
9941,80+,1140,Female,2020,92071
9942,Total Population,30726,Female,2020,92071
9943,Under 10,4149,Male,2020,92071
9944,10 to 19,3534,Male,2020,92071
9945,20 to 29,3715,Male,2020,92071
9946,30 to 39,3931,Male,2020,92071
9947,40 to 49,3664,Male,2020,92071
9948,50 to 59,3822,Male,2020,92071
9949,60 to 69,3286,Male,2020,92071
9950,70 to 79,1757,Male,2020,92071
9951,80+,706,Male,2020,92071
9952,Total Population,28564,Male,2020,92071
9953,Total Population,59290,Total,2020,92071
9954,Under 10,4120,Female,2025,92071
9955,10 to 19,3623,Female,2025,92071
9956,20 to 29,3330,Female,2025,92071
9957,30 to 39,4415,Female,2025,92071
9958,40 to 49,4466,Female,2025,92071
9959,50 to 59,3855,Female,2025,92071
9960,60 to 69,4009,Female,2025,92071
9961,70 to 79,2927,Female,2025,92071
9962,80+,1347,Female,2025,92071
9963,Total Population,32092,Female,2025,92071
9964,Under 10,4238,Male,2025,92071
9965,10 to 19,3689,Male,2025,92071
9966,20 to 29,3402,Male,2025,92071
9967,30 to 39,4021,Male,2025,92071
9968,40 to 49,3933,Male,2025,92071
9969,50 to 59,3457,Male,2025,92071
9970,60 to 69,3530,Male,2025,92071
9971,70 to 79,2214,Male,2025,92071
9972,80+,857,Male,2025,92071
9973,Total Population,29341,Male,2025,92071
9974,Total Population,61433,Total,2025,92071
9975,Under 10,3902,Female,2030,92071
9976,10 to 19,4052,Female,2030,92071
9977,20 to 29,3389,Female,2030,92071
9978,30 to 39,4213,Female,2030,92071
9979,40 to 49,4849,Female,2030,92071
9980,50 to 59,3898,Female,2030,92071
9981,60 to 69,3817,Female,2030,92071
9982,70 to 79,3252,Female,2030,92071
9983,80+,1790,Female,2030,92071
9984,Total Population,33162,Female,2030,92071
9985,Under 10,4077,Male,2030,92071
9986,10 to 19,3873,Male,2030,92071
9987,20 to 29,3214,Male,2030,92071
9988,30 to 39,4002,Male,2030,92071
9989,40 to 49,4137,Male,2030,92071
9990,50 to 59,3376,Male,2030,92071
9991,60 to 69,3240,Male,2030,92071
9992,70 to 79,2612,Male,2030,92071
9993,80+,1158,Male,2030,92071
9994,Total Population,29689,Male,2030,92071
9995,Total Population,62851,Total,2030,92071
9996,Under 10,3787,Female,2035,92071
9997,10 to 19,4070,Female,2035,92071
9998,20 to 29,3799,Female,2035,92071
9999,30 to 39,3871,Female,2035,92071
10000,40 to 49,4791,Female,2035,92071
10001,50 to 59,4424,Female,2035,92071
10002,60 to 69,3534,Female,2035,92071
10003,70 to 79,3337,Female,2035,92071
10004,80+,2230,Female,2035,92071
10005,Total Population,33843,Female,2035,92071
10006,Under 10,3971,Male,2035,92071
10007,10 to 19,3797,Male,2035,92071
10008,20 to 29,3282,Male,2035,92071
10009,30 to 39,3656,Male,2035,92071
10010,40 to 49,4127,Male,2035,92071
10011,50 to 59,3644,Male,2035,92071
10012,60 to 69,2900,Male,2035,92071
10013,70 to 79,2728,Male,2035,92071
10014,80+,1446,Male,2035,92071
10015,Total Population,29551,Male,2035,92071
10016,Total Population,63394,Total,2035,92071
10017,Under 10,3901,Female,2040,92071
10018,10 to 19,3919,Female,2040,92071
10019,20 to 29,4339,Female,2040,92071
10020,30 to 39,3984,Female,2040,92071
10021,40 to 49,4629,Female,2040,92071
10022,50 to 59,4792,Female,2040,92071
10023,60 to 69,3682,Female,2040,92071
10024,70 to 79,3211,Female,2040,92071
10025,80+,2702,Female,2040,92071
10026,Total Population,35159,Female,2040,92071
10027,Under 10,4036,Male,2040,92071
10028,10 to 19,3693,Male,2040,92071
10029,20 to 29,3492,Male,2040,92071
10030,30 to 39,3501,Male,2040,92071
10031,40 to 49,4138,Male,2040,92071
10032,50 to 59,3810,Male,2040,92071
10033,60 to 69,2922,Male,2040,92071
10034,70 to 79,2597,Male,2040,92071
10035,80+,1763,Male,2040,92071
10036,Total Population,29952,Male,2040,92071
10037,Total Population,65111,Total,2040,92071
10038,Under 10,4257,Female,2045,92071
10039,10 to 19,3699,Female,2045,92071
10040,20 to 29,4280,Female,2045,92071
10041,30 to 39,4546,Female,2045,92071
10042,40 to 49,4232,Female,2045,92071
10043,50 to 59,4779,Female,2045,92071
10044,60 to 69,4109,Female,2045,92071
10045,70 to 79,3007,Female,2045,92071
10046,80+,2950,Female,2045,92071
10047,Total Population,35859,Female,2045,92071
10048,Under 10,4254,Male,2045,92071
10049,10 to 19,3674,Male,2045,92071
10050,20 to 29,3300,Male,2045,92071
10051,30 to 39,3634,Male,2045,92071
10052,40 to 49,3824,Male,2045,92071
10053,50 to 59,3850,Male,2045,92071
10054,60 to 69,3128,Male,2045,92071
10055,70 to 79,2399,Male,2045,92071
10056,80+,1885,Male,2045,92071
10057,Total Population,29948,Male,2045,92071
10058,Total Population,65807,Total,2045,92071
10059,Under 10,4477,Female,2050,92071
10060,10 to 19,3737,Female,2050,92071
10061,20 to 29,3813,Female,2050,92071
10062,30 to 39,5099,Female,2050,92071
10063,40 to 49,4196,Female,2050,92071
10064,50 to 59,4391,Female,2050,92071
10065,60 to 69,4388,Female,2050,92071
10066,70 to 79,3006,Female,2050,92071
10067,80+,2849,Female,2050,92071
10068,Total Population,35956,Female,2050,92071
10069,Under 10,4521,Male,2050,92071
10070,10 to 19,3727,Male,2050,92071
10071,20 to 29,3104,Male,2050,92071
10072,30 to 39,3739,Male,2050,92071
10073,40 to 49,3586,Male,2050,92071
10074,50 to 59,3818,Male,2050,92071
10075,60 to 69,3195,Male,2050,92071
10076,70 to 79,2349,Male,2050,92071
10077,80+,1838,Male,2050,92071
10078,Total Population,29877,Male,2050,92071
10079,Total Population,65833,Total,2050,92071
10080,Under 10,577,Female,2012,92075
10081,10 to 19,630,Female,2012,92075
10082,20 to 29,535,Female,2012,92075
10083,30 to 39,846,Female,2012,92075
10084,40 to 49,903,Female,2012,92075
10085,50 to 59,858,Female,2012,92075
10086,60 to 69,871,Female,2012,92075
10087,70 to 79,485,Female,2012,92075
10088,80+,346,Female,2012,92075
10089,Total Population,6051,Female,2012,92075
10090,Under 10,629,Male,2012,92075
10091,10 to 19,708,Male,2012,92075
10092,20 to 29,587,Male,2012,92075
10093,30 to 39,841,Male,2012,92075
10094,40 to 49,813,Male,2012,92075
10095,50 to 59,890,Male,2012,92075
10096,60 to 69,754,Male,2012,92075
10097,70 to 79,457,Male,2012,92075
10098,80+,247,Male,2012,92075
10099,Total Population,5926,Male,2012,92075
10100,Total Population,11977,Total,2012,92075
10101,Under 10,648,Female,2020,92075
10102,10 to 19,526,Female,2020,92075
10103,20 to 29,498,Female,2020,92075
10104,30 to 39,933,Female,2020,92075
10105,40 to 49,796,Female,2020,92075
10106,50 to 59,748,Female,2020,92075
10107,60 to 69,1070,Female,2020,92075
10108,70 to 79,704,Female,2020,92075
10109,80+,341,Female,2020,92075
10110,Total Population,6264,Female,2020,92075
10111,Under 10,678,Male,2020,92075
10112,10 to 19,599,Male,2020,92075
10113,20 to 29,573,Male,2020,92075
10114,30 to 39,867,Male,2020,92075
10115,40 to 49,714,Male,2020,92075
10116,50 to 59,773,Male,2020,92075
10117,60 to 69,954,Male,2020,92075
10118,70 to 79,692,Male,2020,92075
10119,80+,240,Male,2020,92075
10120,Total Population,6090,Male,2020,92075
10121,Total Population,12354,Total,2020,92075
10122,Under 10,658,Female,2025,92075
10123,10 to 19,563,Female,2025,92075
10124,20 to 29,453,Female,2025,92075
10125,30 to 39,899,Female,2025,92075
10126,40 to 49,877,Female,2025,92075
10127,50 to 59,672,Female,2025,92075
10128,60 to 69,1104,Female,2025,92075
10129,70 to 79,857,Female,2025,92075
10130,80+,383,Female,2025,92075
10131,Total Population,6466,Female,2025,92075
10132,Under 10,664,Male,2025,92075
10133,10 to 19,602,Male,2025,92075
10134,20 to 29,526,Male,2025,92075
10135,30 to 39,866,Male,2025,92075
10136,40 to 49,745,Male,2025,92075
10137,50 to 59,682,Male,2025,92075
10138,60 to 69,981,Male,2025,92075
10139,70 to 79,846,Male,2025,92075
10140,80+,274,Male,2025,92075
10141,Total Population,6186,Male,2025,92075
10142,Total Population,12652,Total,2025,92075
10143,Under 10,624,Female,2030,92075
10144,10 to 19,620,Female,2030,92075
10145,20 to 29,456,Female,2030,92075
10146,30 to 39,847,Female,2030,92075
10147,40 to 49,957,Female,2030,92075
10148,50 to 59,682,Female,2030,92075
10149,60 to 69,1028,Female,2030,92075
10150,70 to 79,965,Female,2030,92075
10151,80+,502,Female,2030,92075
10152,Total Population,6681,Female,2030,92075
10153,Under 10,631,Male,2030,92075
10154,10 to 19,621,Male,2030,92075
10155,20 to 29,493,Male,2030,92075
10156,30 to 39,856,Male,2030,92075
10157,40 to 49,764,Male,2030,92075
10158,50 to 59,668,Male,2030,92075
10159,60 to 69,885,Male,2030,92075
10160,70 to 79,965,Male,2030,92075
10161,80+,368,Male,2030,92075
10162,Total Population,6251,Male,2030,92075
10163,Total Population,12932,Total,2030,92075
10164,Under 10,600,Female,2035,92075
10165,10 to 19,626,Female,2035,92075
10166,20 to 29,503,Female,2035,92075
10167,30 to 39,776,Female,2035,92075
10168,40 to 49,967,Female,2035,92075
10169,50 to 59,786,Female,2035,92075
10170,60 to 69,948,Female,2035,92075
10171,70 to 79,1004,Female,2035,92075
10172,80+,658,Female,2035,92075
10173,Total Population,6868,Female,2035,92075
10174,Under 10,610,Male,2035,92075
10175,10 to 19,616,Male,2035,92075
10176,20 to 29,501,Male,2035,92075
10177,30 to 39,786,Male,2035,92075
10178,40 to 49,766,Male,2035,92075
10179,50 to 59,725,Male,2035,92075
10180,60 to 69,780,Male,2035,92075
10181,70 to 79,1022,Male,2035,92075
10182,80+,470,Male,2035,92075
10183,Total Population,6276,Male,2035,92075
10184,Total Population,13144,Total,2035,92075
10185,Under 10,632,Female,2040,92075
10186,10 to 19,617,Female,2040,92075
10187,20 to 29,579,Female,2040,92075
10188,30 to 39,828,Female,2040,92075
10189,40 to 49,941,Female,2040,92075
10190,50 to 59,887,Female,2040,92075
10191,60 to 69,984,Female,2040,92075
10192,70 to 79,940,Female,2040,92075
10193,80+,816,Female,2040,92075
10194,Total Population,7224,Female,2040,92075
10195,Under 10,642,Male,2040,92075
10196,10 to 19,614,Male,2040,92075
10197,20 to 29,533,Male,2040,92075
10198,30 to 39,774,Male,2040,92075
10199,40 to 49,780,Male,2040,92075
10200,50 to 59,786,Male,2040,92075
10201,60 to 69,786,Male,2040,92075
10202,70 to 79,966,Male,2040,92075
10203,80+,572,Male,2040,92075
10204,Total Population,6453,Male,2040,92075
10205,Total Population,13677,Total,2040,92075
10206,Under 10,673,Female,2045,92075
10207,10 to 19,584,Female,2045,92075
10208,20 to 29,586,Female,2045,92075
10209,30 to 39,934,Female,2045,92075
10210,40 to 49,849,Female,2045,92075
10211,50 to 59,865,Female,2045,92075
10212,60 to 69,1095,Female,2045,92075
10213,70 to 79,863,Female,2045,92075
10214,80+,875,Female,2045,92075
10215,Total Population,7324,Female,2045,92075
10216,Under 10,692,Male,2045,92075
10217,10 to 19,595,Male,2045,92075
10218,20 to 29,521,Male,2045,92075
10219,30 to 39,795,Male,2045,92075
10220,40 to 49,714,Male,2045,92075
10221,50 to 59,798,Male,2045,92075
10222,60 to 69,852,Male,2045,92075
10223,70 to 79,868,Male,2045,92075
10224,80+,616,Male,2045,92075
10225,Total Population,6451,Male,2045,92075
10226,Total Population,13775,Total,2045,92075
10227,Under 10,719,Female,2050,92075
10228,10 to 19,585,Female,2050,92075
10229,20 to 29,532,Female,2050,92075
10230,30 to 39,1035,Female,2050,92075
10231,40 to 49,840,Female,2050,92075
10232,50 to 59,783,Female,2050,92075
10233,60 to 69,1164,Female,2050,92075
10234,70 to 79,869,Female,2050,92075
10235,80+,837,Female,2050,92075
10236,Total Population,7364,Female,2050,92075
10237,Under 10,741,Male,2050,92075
10238,10 to 19,609,Male,2050,92075
10239,20 to 29,495,Male,2050,92075
10240,30 to 39,817,Male,2050,92075
10241,40 to 49,679,Male,2050,92075
10242,50 to 59,788,Male,2050,92075
10243,60 to 69,885,Male,2050,92075
10244,70 to 79,854,Male,2050,92075
10245,80+,577,Male,2050,92075
10246,Total Population,6445,Male,2050,92075
10247,Total Population,13809,Total,2050,92075
10248,Under 10,2935,Female,2012,92078
10249,10 to 19,2827,Female,2012,92078
10250,20 to 29,2498,Female,2012,92078
10251,30 to 39,2870,Female,2012,92078
10252,40 to 49,2824,Female,2012,92078
10253,50 to 59,2308,Female,2012,92078
10254,60 to 69,2048,Female,2012,92078
10255,70 to 79,1417,Female,2012,92078
10256,80+,1419,Female,2012,92078
10257,Total Population,21146,Female,2012,92078
10258,Under 10,3003,Male,2012,92078
10259,10 to 19,2916,Male,2012,92078
10260,20 to 29,2379,Male,2012,92078
10261,30 to 39,2699,Male,2012,92078
10262,40 to 49,2859,Male,2012,92078
10263,50 to 59,2160,Male,2012,92078
10264,60 to 69,1590,Male,2012,92078
10265,70 to 79,1001,Male,2012,92078
10266,80+,894,Male,2012,92078
10267,Total Population,19501,Male,2012,92078
10268,Total Population,40647,Total,2012,92078
10269,Under 10,3745,Female,2020,92078
10270,10 to 19,3178,Female,2020,92078
10271,20 to 29,3043,Female,2020,92078
10272,30 to 39,3680,Female,2020,92078
10273,40 to 49,3129,Female,2020,92078
10274,50 to 59,2548,Female,2020,92078
10275,60 to 69,2711,Female,2020,92078
10276,70 to 79,2058,Female,2020,92078
10277,80+,1547,Female,2020,92078
10278,Total Population,25639,Female,2020,92078
10279,Under 10,3915,Male,2020,92078
10280,10 to 19,3044,Male,2020,92078
10281,20 to 29,3054,Male,2020,92078
10282,30 to 39,3371,Male,2020,92078
10283,40 to 49,3173,Male,2020,92078
10284,50 to 59,2367,Male,2020,92078
10285,60 to 69,2209,Male,2020,92078
10286,70 to 79,1626,Male,2020,92078
10287,80+,949,Male,2020,92078
10288,Total Population,23708,Male,2020,92078
10289,Total Population,49347,Total,2020,92078
10290,Under 10,4319,Female,2025,92078
10291,10 to 19,3682,Female,2025,92078
10292,20 to 29,3351,Female,2025,92078
10293,30 to 39,4218,Female,2025,92078
10294,40 to 49,3839,Female,2025,92078
10295,50 to 59,2764,Female,2025,92078
10296,60 to 69,3237,Female,2025,92078
10297,70 to 79,2848,Female,2025,92078
10298,80+,1967,Female,2025,92078
10299,Total Population,30225,Female,2025,92078
10300,Under 10,4411,Male,2025,92078
10301,10 to 19,3499,Male,2025,92078
10302,20 to 29,3335,Male,2025,92078
10303,30 to 39,3880,Male,2025,92078
10304,40 to 49,3712,Male,2025,92078
10305,50 to 59,2617,Male,2025,92078
10306,60 to 69,2674,Male,2025,92078
10307,70 to 79,2222,Male,2025,92078
10308,80+,1248,Male,2025,92078
10309,Total Population,27598,Male,2025,92078
10310,Total Population,57823,Total,2025,92078
10311,Under 10,4284,Female,2030,92078
10312,10 to 19,3867,Female,2030,92078
10313,20 to 29,3334,Female,2030,92078
10314,30 to 39,4185,Female,2030,92078
10315,40 to 49,4081,Female,2030,92078
10316,50 to 59,2760,Female,2030,92078
10317,60 to 69,3018,Female,2030,92078
10318,70 to 79,3116,Female,2030,92078
10319,80+,2309,Female,2030,92078
10320,Total Population,30954,Female,2030,92078
10321,Under 10,4329,Male,2030,92078
10322,10 to 19,3552,Male,2030,92078
10323,20 to 29,3252,Male,2030,92078
10324,30 to 39,3982,Male,2030,92078
10325,40 to 49,3759,Male,2030,92078
10326,50 to 59,2544,Male,2030,92078
10327,60 to 69,2457,Male,2030,92078
10328,70 to 79,2400,Male,2030,92078
10329,80+,1534,Male,2030,92078
10330,Total Population,27809,Male,2030,92078
10331,Total Population,58763,Total,2030,92078
10332,Under 10,4213,Female,2035,92078
10333,10 to 19,3960,Female,2035,92078
10334,20 to 29,3502,Female,2035,92078
10335,30 to 39,4022,Female,2035,92078
10336,40 to 49,4191,Female,2035,92078
10337,50 to 59,3085,Female,2035,92078
10338,60 to 69,2910,Female,2035,92078
